Income,Rent,Groceries,Transport,Eating_Out,Entertainment,Utilities
535.65,160.69,79.91,31.64,19.82,18.43,34.94
322.3,64.46,33.82,18.52,7.79,12.6,19.51
604.41,90.66,75.76,38.66,18.17,20.68,40.42
1217.47,182.62,176.28,85.27,60.48,34.3,73.54
298.5,59.7,36.41,15.31,8.31,7.92,13.11
298.51,59.7,39.0,21.12,12.59,9.01,12.29
1273.44,254.69,153.48,76.15,52.69,31.52,74.43
665.18,133.04,98.33,40.24,20.9,14.64,28.34
247.28,74.18,36.8,14.05,8.26,5.02,11.05
555.66,111.13,60.79,30.0,24.48,12.2,35.35
248.48,37.27,36.45,17.51,5.42,9.42,18.58
248.02,49.6,31.17,13.48,10.55,7.72,16.91
436.89,131.07,56.23,30.04,15.95,9.87,28.03
77.9,11.69,11.47,5.94,3.71,2.76,5.66
90.57,18.11,12.39,6.82,3.2,3.33,6.13
229.59,45.92,30.19,13.97,7.94,7.93,13.91
160.11,32.02,23.04,11.54,7.47,3.98,11.83
462.9,92.58,61.52,31.37,15.21,21.63,24.98
174.11,52.23,18.08,9.74,6.19,4.97,9.2
116.31,23.26,15.68,6.75,4.75,5.13,8.68
1162.84,232.57,171.08,75.26,33.95,46.55,48.8
300.51,60.1,38.05,23.37,13.18,10.08,15.85
379.98,113.99,48.23,26.17,16.48,10.51,20.24
115.16,23.03,13.12,7.53,5.16,4.55,6.18
232.9,69.87,29.84,16.16,11.48,11.16,12.5
393.41,78.68,57.79,21.46,18.23,17.43,18.7
143.35,28.67,16.37,7.7,5.71,5.97,8.39
486.22,72.93,72.16,38.47,12.85,13.76,27.01
222.65,44.53,30.16,16.72,8.1,9.28,14.04
285.07,57.01,31.62,18.95,7.17,12.47,17.36
222.46,44.49,30.08,14.24,8.75,4.91,11.35
1584.35,237.65,191.98,95.45,68.8,59.15,81.69
356.13,106.84,46.06,23.51,9.23,12.62,21.08
154.46,30.89,22.1,12.16,3.37,6.77,10.53
695.16,139.03,76.99,36.13,13.97,27.61,47.95
135.56,27.11,16.59,9.16,6.65,5.48,8.42
425.47,63.82,51.87,33.4,11.42,14.55,31.16
75.07,15.01,10.1,5.49,2.81,3.62,5.51
124.41,18.66,12.87,9.16,3.51,2.85,9.46
421.4,126.42,46.07,29.2,14.7,10.87,27.08
649.94,194.98,79.31,50.62,15.66,29.8,45.93
412.9,82.58,52.53,32.19,14.09,9.86,24.61
328.19,49.23,33.53,21.5,15.8,10.04,22.02
282.94,56.59,34.57,20.48,13.77,5.91,22.56
110.31,22.06,14.45,8.79,3.6,3.59,8.36
202.4,40.48,21.61,12.84,7.99,8.77,12.47
249.03,37.36,30.4,15.13,9.77,12.1,18.58
838.66,251.6,114.87,44.7,32.83,27.26,33.76
473.9,94.78,49.51,33.18,17.08,11.07,20.78
87.85,17.57,11.51,4.76,2.9,1.93,6.91
466.55,93.31,55.6,31.07,11.8,17.05,26.02
