timestamp,from_bank,to_bank,amount_paid,amount_received,payment_format,is_laundering
2022-01-01 00:00:00,Bank_C,Bank_Z,234.63,250.14,Credit Card,0
2022-01-01 01:00:00,Bank_B,Bank_Y,1505.06,320.69,Credit Card,0
2022-01-01 02:00:00,Bank_A,Bank_Y,658.37,963.95,Cash,0
2022-01-01 03:00:00,Bank_B,Bank_Z,456.47,207.76,Cash,0
2022-01-01 04:00:00,Bank_C,Bank_X,84.81,1018.76,Cash,0
2022-01-01 05:00:00,Bank_C,Bank_Z,84.8,46.13,Credit Card,0
2022-01-01 06:00:00,Bank_C,Bank_Z,29.92,749.84,Cash,0
2022-01-01 07:00:00,Bank_C,Bank_Y,1005.62,940.45,Transfer,0
2022-01-01 08:00:00,Bank_B,Bank_X,459.54,100.34,Credit Card,0
2022-01-01 09:00:00,Bank_A,Bank_X,615.63,281.36,Transfer,0
2022-01-01 10:00:00,Bank_B,Bank_X,10.4,90.46,Transfer,0
2022-01-01 11:00:00,Bank_A,Bank_X,1751.78,613.12,Cash,0
2022-01-01 12:00:00,Bank_C,Bank_Y,893.21,383.23,Credit Card,0
2022-01-01 13:00:00,Bank_A,Bank_X,119.34,504.37,Cash,0
2022-01-01 14:00:00,Bank_C,Bank_X,100.34,109.38,Cash,0
2022-01-01 15:00:00,Bank_B,Bank_X,101.31,118.97,Cash,0
2022-01-01 16:00:00,Bank_A,Bank_Y,181.38,21.19,Credit Card,0
2022-01-01 17:00:00,Bank_B,Bank_Y,371.96,194.35,Credit Card,0
2022-01-01 18:00:00,Bank_C,Bank_X,282.77,410.2,Cash,0
2022-01-01 19:00:00,Bank_B,Bank_Y,172.11,975.73,Transfer,0
2022-01-01 20:00:00,Bank_C,Bank_Z,473.19,549.7,Transfer,0
2022-01-01 21:00:00,Bank_C,Bank_X,75.12,285.82,Credit Card,0
2022-01-01 22:00:00,Bank_C,Bank_Y,172.76,1530.08,Wire,0
2022-01-01 23:00:00,Bank_B,Bank_X,228.14,635.14,Cash,1
2022-01-02 00:00:00,Bank_B,Bank_X,304.47,1330.81,Cash,0
2022-01-02 01:00:00,Bank_A,Bank_Y,768.97,374.95,Wire,0
2022-01-02 02:00:00,Bank_A,Bank_Z,111.37,149.81,Credit Card,0
2022-01-02 03:00:00,Bank_B,Bank_X,361.01,27.14,Transfer,0
2022-01-02 04:00:00,Bank_B,Bank_Z,448.75,647.47,Credit Card,0
2022-01-02 05:00:00,Bank_B,Bank_Y,23.78,64.66,Transfer,0
2022-01-02 06:00:00,Bank_B,Bank_X,467.67,180.32,Transfer,0
2022-01-02 07:00:00,Bank_C,Bank_Y,93.48,380.15,Credit Card,1
2022-01-02 08:00:00,Bank_C,Bank_Y,33.63,415.53,Cash,0
2022-01-02 09:00:00,Bank_C,Bank_Y,1486.84,458.87,Cash,0
2022-01-02 10:00:00,Bank_B,Bank_Y,1685.32,90.91,Cash,0
2022-01-02 11:00:00,Bank_C,Bank_X,826.17,238.81,Transfer,1
2022-01-02 12:00:00,Bank_C,Bank_Z,181.64,480.11,Cash,0
2022-01-02 13:00:00,Bank_A,Bank_Z,51.39,1750.27,Transfer,0
2022-01-02 14:00:00,Bank_A,Bank_X,576.38,650.3,Cash,0
2022-01-02 15:00:00,Bank_C,Bank_X,290.05,1279.41,Credit Card,0
2022-01-02 16:00:00,Bank_C,Bank_Z,65.08,718.19,Wire,0
2022-01-02 17:00:00,Bank_C,Bank_Z,341.77,447.9,Transfer,0
2022-01-02 18:00:00,Bank_B,Bank_X,17.5,106.61,Credit Card,0
2022-01-02 19:00:00,Bank_A,Bank_Y,1200.21,549.33,Transfer,0
2022-01-02 20:00:00,Bank_A,Bank_X,149.73,488.26,Transfer,0
2022-01-02 21:00:00,Bank_A,Bank_Z,543.13,461.24,Credit Card,0
2022-01-02 22:00:00,Bank_C,Bank_Y,186.77,336.46,Cash,0
2022-01-02 23:00:00,Bank_B,Bank_Z,367.06,376.08,Transfer,1
2022-01-03 00:00:00,Bank_A,Bank_Y,395.61,203.57,Wire,0
2022-01-03 01:00:00,Bank_A,Bank_Z,102.19,366.27,Wire,0
2022-01-03 02:00:00,Bank_B,Bank_Y,1746.4,110.05,Credit Card,0
2022-01-03 03:00:00,Bank_C,Bank_X,746.12,817.83,Wire,0
2022-01-03 04:00:00,Bank_C,Bank_X,1402.55,102.76,Credit Card,0
2022-01-03 05:00:00,Bank_A,Bank_Y,1126.08,44.4,Credit Card,0
2022-01-03 06:00:00,Bank_A,Bank_Y,455.53,286.57,Transfer,0
2022-01-03 07:00:00,Bank_B,Bank_X,1274.72,536.92,Credit Card,0
2022-01-03 08:00:00,Bank_A,Bank_X,46.33,287.87,Credit Card,0
2022-01-03 09:00:00,Bank_B,Bank_Y,109.07,162.0,Cash,0
2022-01-03 10:00:00,Bank_A,Bank_Y,23.14,408.42,Transfer,0
2022-01-03 11:00:00,Bank_A,Bank_X,196.77,213.09,Wire,0
2022-01-03 12:00:00,Bank_A,Bank_Z,246.07,1350.54,Cash,0
2022-01-03 13:00:00,Bank_C,Bank_X,158.28,1279.68,Cash,1
2022-01-03 14:00:00,Bank_B,Bank_Y,882.28,348.95,Transfer,0
2022-01-03 15:00:00,Bank_B,Bank_Y,220.61,198.66,Transfer,0
2022-01-03 16:00:00,Bank_C,Bank_Z,164.9,668.05,Cash,0
2022-01-03 17:00:00,Bank_C,Bank_X,391.2,18.7,Transfer,0
2022-01-03 18:00:00,Bank_C,Bank_Y,75.95,321.96,Transfer,0
2022-01-03 19:00:00,Bank_B,Bank_X,810.24,204.98,Credit Card,0
2022-01-03 20:00:00,Bank_A,Bank_Y,38.74,1266.22,Transfer,0
2022-01-03 21:00:00,Bank_C,Bank_Z,2167.07,6.04,Credit Card,0
2022-01-03 22:00:00,Bank_C,Bank_X,739.74,402.39,Cash,0
2022-01-03 23:00:00,Bank_C,Bank_X,110.77,674.81,Cash,0
